2025-07-02 10:09:17.783 [main] INFO  com.datacenter.extract.ExtractServiceApplication - Starting ExtractServiceApplication using Java 17.0.6 with PID 66761 (/Users/admin/workspace/AGENT/extract-service/target/classes started by admin in /Users/admin/workspace/AGENT/extract-service)
2025-07-02 10:09:17.786 [main] INFO  com.datacenter.extract.ExtractServiceApplication - The following 1 profile is active: "default"
2025-07-02 10:09:19.888 [main] INFO  com.datacenter.extract.config.RedisConfig - 🚀 Redis缓存配置完成 - Key前缀: extract:v4:
2025-07-02 10:09:19.918 [main] INFO  com.datacenter.extract.service.CacheService - 🚀 CacheService初始化完成 - Redis: 启用
2025-07-02 10:09:19.921 [main] INFO  com.datacenter.extract.service.TemplateManager - 🚀 TemplateManager v4.0 初始化完成 - 集成Redis缓存
2025-07-02 10:09:19.923 [main] WARN  com.datacenter.extract.service.AIModelCaller - ⚠️  检测到开发模式，将使用模拟AI响应，不进行真实API调用
2025-07-02 10:09:19.923 [main] WARN  com.datacenter.extract.service.AIModelCaller - ⚠️  如需使用真实AI服务，请配置有效的DEEPSEEK_API_KEY环境变量
2025-07-02 10:09:19.924 [main] INFO  com.datacenter.extract.service.AIModelCaller - 🚀 AIModelCaller初始化完成，模式: 开发模式(模拟)，支持模板类型: celebrity, celebritycelebrity, work, event, triples
2025-07-02 10:09:19.926 [main] INFO  c.d.extract.service.QualityAssessmentService - 🔬 QualityAssessmentService初始化完成 - 支持知识图谱质量评估
2025-07-02 10:09:19.928 [main] INFO  c.d.extract.service.EntityValidationService - 🔍 EntityValidationService初始化完成 - 支持实体验证和标准化
2025-07-02 10:09:20.008 [main] INFO  c.d.extract.service.EntityValidationService - ✅ 实体验证配置加载完成 - 支持7种实体类型
2025-07-02 10:09:20.016 [main] INFO  c.d.extract.service.EntityDisambiguationService - 🔍 EntityDisambiguationService初始化完成 - 支持实体消歧义和知识融合
2025-07-02 10:09:20.021 [main] INFO  c.d.extract.service.RelationValidationService - 🔗 RelationValidationService初始化完成 - 支持关系消歧义和验证
2025-07-02 10:09:20.036 [main] INFO  c.d.extract.service.RelationValidationService - ✅ 关系验证配置加载完成 - 支持6种关系类型
2025-07-02 10:09:20.039 [main] INFO  com.datacenter.extract.service.LongTextProcessor - LongTextProcessor v4.0 initialized with template management and file output
2025-07-02 10:09:20.042 [main] INFO  com.datacenter.extract.service.SmartAIProvider - 🤖 SmartAIProvider初始化完成 - 支持智能策略选择和知识图谱增强
2025-07-02 10:09:20.045 [main] INFO  c.d.extract.service.FileBasedProcessingService - 🗂️ FileBasedProcessingService初始化完成，支持类型: celebrity, celebritycelebrity, work, event, triples
2025-07-02 10:09:20.048 [main] INFO  c.d.extract.service.OptimizedBusinessService - 🚀 OptimizedBusinessService v4.0增强版初始化完成 - 集成知识图谱业务逻辑 (实体消歧义、关系验证、质量评估)
2025-07-02 10:09:20.049 [main] INFO  c.datacenter.extract.service.TextExtractionService - 🚀 TextExtractionService v5.0初始化完成 - 基于文件系统的智能提取服务，支持消歧义处理
2025-07-02 10:09:20.082 [main] INFO  c.d.extract.controller.AsyncExtractController - 🚀 AsyncExtractController v4.0初始化完成 - 基于文件系统的智能提取API
2025-07-02 10:09:20.087 [main] INFO  com.datacenter.extract.controller.CacheController - 🚀 CacheController初始化完成
2025-07-02 10:09:20.509 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2025-07-02 10:09:20.941 [main] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port 2701
2025-07-02 10:09:20.961 [main] INFO  com.datacenter.extract.ExtractServiceApplication - Started ExtractServiceApplication in 3.893 seconds (process running for 4.248)
2025-07-02 10:11:25.931 [reactor-http-nio-11] INFO  com.datacenter.extract.service.TemplateManager - 成功加载模板文件: templates/input_celebrity.json
2025-07-02 10:11:25.931 [reactor-http-nio-11] INFO  com.datacenter.extract.service.TemplateManager - 成功加载并缓存模板: celebrity
2025-07-02 10:11:25.947 [reactor-http-nio-12] INFO  com.datacenter.extract.service.TemplateManager - 成功加载模板文件: templates/input_work.json
2025-07-02 10:11:25.947 [reactor-http-nio-12] INFO  com.datacenter.extract.service.TemplateManager - 成功加载并缓存模板: work
2025-07-02 10:11:25.959 [reactor-http-nio-1] INFO  com.datacenter.extract.service.TemplateManager - 成功加载模板文件: templates/input_triples.json
2025-07-02 10:11:25.959 [reactor-http-nio-1] INFO  com.datacenter.extract.service.TemplateManager - 成功加载并缓存模板: triples
2025-07-02 10:11:25.980 [reactor-http-nio-2] INFO  c.d.extract.controller.AsyncExtractController - 📝 收到提取请求 - 类型: celebrity, KG模式: standard, 文本长度: 10
